"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"aides culinaires et ingrédients divers","sauces","Sauce au yaourt",1.68,9.42e-7,0.806,0.0046,1.18e-7,2.56e-8,8.82e-10,0.0145,0.000229,0.00489,0.0575,24.7,60.3,0.581,30.6,0.0000257
"aides culinaires et ingrédients divers","sauces","Sauce aux champignons et à la crème, préemballée",4.44,9.77e-7,1.1,0.00876,2.39e-7,7.55e-8,2.07e-9,0.0282,0.000462,0.0136,0.112,46.1,115,21.2,63.4,0.0000329
"aides culinaires et ingrédients divers","sauces","Sauce aux champignons, préemballée",4.13,9.78e-7,1.03,0.00807,1.75e-7,6.45e-8,1.72e-9,0.0177,0.000451,0.0118,0.0646,40.3,66.8,27.3,67.5,0.0000322
"aides culinaires et ingrédients divers","sauces","Sauce barbecue, préemballée",1.41,9.48e-7,0.841,0.00592,1.26e-7,5.69e-8,1.6e-9,0.0143,0.000292,0.00625,0.0552,25.5,71.9,2.04,35.2,0.0000281
"aides culinaires et ingrédients divers","sauces","Sauce basquaise ou Sauce aux poivrons, préemballée",1.24,9.46e-7,0.954,0.00555,1.04e-7,5.86e-8,9.99e-10,0.0117,0.000283,0.00576,0.0436,17.1,106,3.92,36.8,0.0000288
"aides culinaires et ingrédients divers","sauces","Sauce béarnaise, préemballée",5.13,9.68e-7,1.14,0.0107,4.33e-7,1.01e-7,3.13e-9,0.0601,0.000507,0.0189,0.257,66,265,1.08,44.2,0.0000344
"aides culinaires et ingrédients divers","sauces","Sauce béchamel, maison",2.33,9.44e-7,0.877,0.00529,1.76e-7,3.07e-8,1.14e-9,0.023,0.000254,0.00707,0.0956,23.8,88.2,0.425,32.3,0.0000267
"aides culinaires et ingrédients divers","sauces","Sauce béchamel, préemballée",2.33,9.44e-7,0.877,0.00529,1.76e-7,3.07e-8,1.14e-9,0.023,0.000254,0.00707,0.0956,23.8,88.2,0.425,32.3,0.0000267
"aides culinaires et ingrédients divers","sauces","Sauce bourguignonne, préemballée",2.59,9.55e-7,0.951,0.00644,1.64e-7,1.03e-7,2.24e-9,0.0199,0.000352,0.0102,0.0804,29.9,131,5.12,41.3,0.0000307
"aides culinaires et ingrédients divers","sauces","Sauce burger, préemballée",2.68,9.95e-7,0.905,0.0109,2.64e-7,9.87e-8,3.64e-9,0.0345,0.000748,0.0222,0.149,56.2,369,4.25,42.2,0.0000324
"aides culinaires et ingrédients divers","sauces","Sauce carbonara, préemballée",5.24,9.84e-7,1.5,0.0119,4.99e-7,6.55e-8,3.22e-9,0.0674,0.000662,0.0202,0.287,101,248,1.28,56.5,0.0000369
"aides culinaires et ingrédients divers","sauces","Sauce chasseur, préemballée",2.5,9.53e-7,0.919,0.00587,1.44e-7,6.1e-8,1.53e-9,0.0167,0.000317,0.00869,0.0657,25.1,83.3,8.16,42.4,0.000029
"aides culinaires et ingrédients divers","sauces","Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",2.63,9.43e-7,0.936,0.0108,2.62e-7,9.8e-8,3.62e-9,0.0342,0.000735,0.0222,0.148,56,369,4.24,41.4,0.0000273
"aides culinaires et ingrédients divers","sauces","Sauce crudités ou Sauce salade, préemballée",2.63,9.43e-7,0.936,0.0108,2.62e-7,9.8e-8,3.62e-9,0.0342,0.000735,0.0222,0.148,56,369,4.24,41.4,0.0000273
"aides culinaires et ingrédients divers","sauces","Sauce grand veneur, préemballée",2.6,9.55e-7,1.02,0.00648,1.65e-7,1.04e-7,2.26e-9,0.02,0.000357,0.0102,0.0805,30,131,5.12,42.8,0.0000312
"aides culinaires et ingrédients divers","sauces","Sauce hollandaise, préemballée",6.29,9.74e-7,1.16,0.0127,5.45e-7,8.34e-8,3.27e-9,0.0767,0.000566,0.0217,0.329,89,308,1,46.4,0.0000353
"aides culinaires et ingrédients divers","sauces","Sauce indienne type tandoori ou tikka masala, préemballée",1.58,9.46e-7,0.917,0.00508,1.1e-7,3.45e-8,1.1e-9,0.013,0.000263,0.0066,0.0505,19.5,67.1,1.06,34.5,0.000027
"aides culinaires et ingrédients divers","sauces","Sauce kebab, préemballée",2.24,9.52e-7,1.04,0.00615,1.73e-7,4.27e-8,1.46e-9,0.0223,0.00032,0.00997,0.0922,27.9,117,1.1,37.7,0.0000275
"aides culinaires et ingrédients divers","sauces","Sauce madère, préemballée",5.48,9.55e-7,0.952,0.0099,4.79e-7,1.06e-7,2.65e-9,0.068,0.000376,0.0165,0.296,31.5,331,0.725,38.2,0.0000312
"aides culinaires et ingrédients divers","sauces","Sauce moutarde, préemballée",2.31,9.48e-7,1.14,0.00562,1.79e-7,3.5e-8,1.13e-9,0.0233,0.000269,0.0079,0.096,22.1,88.6,0.508,39.1,0.0000271
"aides culinaires et ingrédients divers","sauces","Sauce Nuoc Mâm ou Sauce au poisson, préemballée",1.06,9.38e-7,0.872,0.00371,6.86e-8,3.56e-8,8.41e-10,0.00693,0.000211,0.00381,0.025,8.47,35.8,0.562,31.5,0.0000255
"aides culinaires et ingrédients divers","sauces","Sauce pesto rosso, préemballée",2.88,9.62e-7,0.903,0.00972,3.09e-7,1.03e-7,1.73e-9,0.0411,0.000644,0.0188,0.172,39.5,314,11,40.2,0.0000322
"aides culinaires et ingrédients divers","sauces","Sauce pesto, préemballée",2.88,9.62e-7,0.903,0.00972,3.09e-7,1.03e-7,1.73e-9,0.0411,0.000644,0.0188,0.172,39.5,314,11,40.2,0.0000322
"aides culinaires et ingrédients divers","sauces","Sauce rouille, préemballée",2.33,8.94e-7,0.723,0.00946,2.36e-7,8.84e-8,3.27e-9,0.0308,0.000667,0.0201,0.133,50.4,335,3.86,35.5,0.0000284
"aides culinaires et ingrédients divers","sauces","Sauce soja, préemballée",0.995,9.35e-7,0.733,0.0033,5.01e-8,1.39e-8,5.44e-10,0.00464,0.000182,0.00291,0.0152,9.21,31.2,0.297,27.2,0.000024
"aides culinaires et ingrédients divers","sauces","Sauce tartare, préemballée",2.02,9.47e-7,1.03,0.00653,1.55e-7,2.82e-8,9.55e-10,0.0173,0.000238,0.00559,0.0695,17.6,63.8,0.392,37,0.000026
"aides culinaires et ingrédients divers","sauces","Sauce tomate à la viande ou Sauce bolognaise, préemballée",13.2,1.2e-7,1.24,0.0218,0.0000012,2.03e-7,5.47e-9,0.174,0.000714,0.0392,0.766,70.5,826,2.43,60.1,0.0000224
"aides culinaires et ingrédients divers","sauces","Sauce tomate au fromage, préemballée",1.8,8.05e-8,0.807,0.00587,1.23e-7,4.93e-8,1.1e-9,0.0138,0.000293,0.0058,0.0528,16.9,85,2.62,38.7,0.00000977
"aides culinaires et ingrédients divers","sauces","Sauce tomate aux champignons, préemballée",1.77,8.19e-8,0.793,0.00575,1.03e-7,4.72e-8,1.01e-9,0.0104,0.000289,0.00543,0.0375,15.9,69.5,5.66,41.4,0.00000984
"aides culinaires et ingrédients divers","sauces","Sauce tomate aux oignons, préemballée",1.47,7.79e-8,0.785,0.00533,9.32e-8,4.56e-8,9.54e-10,0.00957,0.000266,0.00472,0.0344,13,69.1,2.63,37.6,0.00000928
"aides culinaires et ingrédients divers","sauces","Sauce tomate aux olives, préemballée",1.46,7.79e-8,0.784,0.00539,9.48e-8,4.73e-8,9.6e-10,0.00981,0.000267,0.00477,0.0354,13.4,74.2,2.84,37.6,0.00000933
"aides culinaires et ingrédients divers","sauces","Sauce tomate aux petits légumes, préemballée",1.5,7.96e-8,0.789,0.00593,1.1e-7,5.79e-8,1.05e-9,0.012,0.000304,0.00595,0.0444,16.9,106,3.92,38.4,0.00001
"aides culinaires et ingrédients divers","sauces","Sauce végétale type bolognaise, préemballée",1.2,9.39e-7,1.55,0.00449,8.27e-8,3.64e-8,1.02e-9,0.00863,0.000276,0.0056,0.0287,20.5,65,1.54,46.9,0.0000259
"aides culinaires et ingrédients divers","sauces","Sauce vinaigrette (50 à 75% d'huile), préemballée",2.36,9.36e-7,0.949,0.0097,2.27e-7,1.06e-7,3.38e-9,0.0291,0.000653,0.0199,0.126,46.1,334,3.73,40.3,0.0000269
"aides culinaires et ingrédients divers","sels","Fleur de sel, non iodée, non fluorée",0.632,1.09e-8,0.109,0.00253,4.7e-8,1.3e-8,4.62e-10,0.00321,0.000267,0.000945,0.00764,5.57,14.3,0.0776,9.05,0.0000107
"aides culinaires et ingrédients divers","sels","Sel au céleri",0.632,1.09e-8,0.109,0.00253,4.7e-8,1.3e-8,4.62e-10,0.00321,0.000267,0.000945,0.00764,5.57,14.3,0.0776,9.05,0.0000107
"aides culinaires et ingrédients divers","sels","Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)",0.632,1.09e-8,0.109,0.00253,4.7e-8,1.3e-8,4.62e-10,0.00321,0.000267,0.000945,0.00764,5.57,14.3,0.0776,9.05,0.0000107
"aides culinaires et ingrédients divers","sels","Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0.632,1.09e-8,0.109,0.00253,4.7e-8,1.3e-8,4.62e-10,0.00321,0.000267,0.000945,0.00764,5.57,14.3,0.0776,9.05,0.0000107
"aides culinaires et ingrédients divers","sels","Sel marin gris, non iodé, non fluoré",0.632,1.09e-8,0.109,0.00253,4.7e-8,1.3e-8,4.62e-10,0.00321,0.000267,0.000945,0.00764,5.57,14.3,0.0776,9.05,0.0000107
"aliments infantiles","céréales et biscuits infantiles","Biscuit pour bébé",3.03,3.03e-8,0.55,0.00793,2.01e-7,1.67e-8,1.54e-9,0.0242,0.000426,0.00998,0.0965,33.6,96.8,1.82,50,0.00000959
"aliments infantiles","céréales et biscuits infantiles","Céréales instantanées, poudre à reconstituer, dès 4/6 mois",2.2,4.17e-8,0.265,0.00867,2.09e-7,2.55e-8,1.16e-8,0.0209,0.00123,0.0676,0.0827,22.1,244,1.05,24,0.00000711
"aliments infantiles","céréales et biscuits infantiles","Céréales instantanées, poudre à reconstituer, dès 6 mois",2.2,4.17e-8,0.265,0.00867,2.09e-7,2.55e-8,1.16e-8,0.0209,0.00123,0.0676,0.0827,22.1,244,1.05,24,0.00000711
"aliments infantiles","céréales et biscuits infantiles","Céréales instantanées, poudre reconstituée chez le consommateur, dès 4/6 mois",0.911,3.77e-8,0.255,0.00283,6.76e-8,1.15e-8,1.56e-9,0.00711,0.000209,0.00796,0.0282,10.8,51.1,0.322,12.8,0.00000376
"aliments infantiles","céréales et biscuits infantiles","Céréales instantanées, poudre reconstituée chez le consommateur, dès 6 mois",0.911,3.77e-8,0.255,0.00283,6.76e-8,1.15e-8,1.56e-9,0.00711,0.000209,0.00796,0.0282,10.8,51.1,0.322,12.8,0.00000376
"aliments infantiles","desserts infantiles","Dessert lacté infantile au riz ou à la semoule",2.49,2.1e-8,0.615,0.0053,1.51e-7,2.22e-8,8.7e-10,0.019,0.000229,0.00577,0.0771,17.6,63.1,0.942,34.3,0.00000612
"aliments infantiles","desserts infantiles","Dessert lacté infantile nature sucré ou aux fruits",2.49,2.1e-8,0.615,0.0053,1.51e-7,2.22e-8,8.7e-10,0.019,0.000229,0.00577,0.0771,17.6,63.1,0.942,34.3,0.00000612
"aliments infantiles","desserts infantiles","Dessert lacté infantile type crème dessert",2.49,2.1e-8,0.615,0.0053,1.51e-7,2.22e-8,8.7e-10,0.019,0.000229,0.00577,0.0771,17.6,63.1,0.942,34.3,0.00000612
"aliments infantiles","desserts infantiles","Petit pot fruit avec banane pour bébé",1.57,2.1e-8,0.521,0.00414,6.9e-8,1.21e-8,5.74e-10,0.00668,0.000187,0.00261,0.0233,11.2,21,1.31,31.7,0.00000534
"aliments infantiles","desserts infantiles","Petit pot fruit sans banane pour bébé",1.57,2.1e-8,0.521,0.00414,6.9e-8,1.21e-8,5.74e-10,0.00668,0.000187,0.00261,0.0233,11.2,21,1.31,31.7,0.00000534
"aliments infantiles","laits et boissons infantiles","Boisson aux fruits pour bébé dès 4/6mois",0.819,3.67e-8,0.147,0.00436,5.45e-8,7.48e-8,8.41e-10,0.00723,0.000175,0.00387,0.0247,41.1,32.6,9.86,12.4,0.00000506
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois",0.851,2.85e-8,0.154,0.00197,6.8e-8,9.63e-9,4.15e-10,0.00819,0.000123,0.00538,0.0341,8.44,40.5,0.17,9.01,0.00000247
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois",0.863,2.89e-8,0.223,0.00201,6.88e-8,1.02e-8,4.28e-10,0.00827,0.000128,0.0054,0.0342,8.54,40.6,0.174,10.5,0.000003
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées pour le petit déjeuner",0.863,2.89e-8,0.223,0.00201,6.88e-8,1.02e-8,4.28e-10,0.00827,0.000128,0.0054,0.0342,8.54,40.6,0.174,10.5,0.000003
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois",0.863,2.89e-8,0.223,0.00201,6.88e-8,1.02e-8,4.28e-10,0.00827,0.000128,0.0054,0.0342,8.54,40.6,0.174,10.5,0.000003
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois",0.863,2.89e-8,0.223,0.00201,6.88e-8,1.02e-8,4.28e-10,0.00827,0.000128,0.0054,0.0342,8.54,40.6,0.174,10.5,0.000003
"aliments infantiles","laits et boissons infantiles","Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois",0.863,2.89e-8,0.223,0.00201,6.88e-8,1.02e-8,4.28e-10,0.00827,0.000128,0.0054,0.0342,8.54,40.6,0.174,10.5,0.000003
"aliments infantiles","laits et boissons infantiles","Lait 1er âge, poudre soluble (préparation pour nourrissons)",8.05,8.84e-8,0.502,0.0161,6.78e-7,1.01e-7,9.63e-9,0.0926,0.00081,0.0289,0.399,107,406,1.98,38.1,0.0000157
"aliments infantiles","laits et boissons infantiles","Lait 1er âge, poudre soluble (préparation pour nourrissons), réhydratée chez le consommateur",1.09,1.19e-8,0.068,0.00217,9.15e-8,1.37e-8,1.3e-9,0.0125,0.000109,0.00391,0.0539,14.5,54.8,0.274,5.15,0.00000212
"aliments infantiles","laits et boissons infantiles","Lait 1er âge, prêt à consommer (préparation pour nourrissons)",0.795,3.74e-8,0.254,0.0023,5.47e-8,1.03e-8,6.51e-10,0.00586,0.000116,0.00256,0.0233,9.83,33.6,0.255,11.7,0.00000345
"aliments infantiles","laits et boissons infantiles","Lait 2e âge, poudre soluble (préparation de suite)",8.05,8.84e-8,0.502,0.0161,6.78e-7,1.01e-7,9.63e-9,0.0926,0.00081,0.0289,0.399,107,406,1.98,38.1,0.0000157
"aliments infantiles","laits et boissons infantiles","Lait 2e âge, poudre soluble (préparation de suite), réhydratée chez le consommateur",1.09,1.19e-8,0.068,0.00217,9.15e-8,1.37e-8,1.3e-9,0.0125,0.000109,0.00391,0.0539,14.5,54.8,0.274,5.15,0.00000212
"aliments infantiles","laits et boissons infantiles","Lait 2e âge, prêt à consommer (préparation pour nourrissons)",0.795,3.74e-8,0.254,0.0023,5.47e-8,1.03e-8,6.51e-10,0.00586,0.000116,0.00256,0.0233,9.83,33.6,0.255,11.7,0.00000345
"aliments infantiles","laits et boissons infantiles","Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)",0.683,2.63e-8,0.137,0.00182,5.09e-8,8.87e-9,6.07e-10,0.00537,0.000102,0.0024,0.0216,9.1,33.4,0.249,8.35,0.0000023
"aliments infantiles","laits et boissons infantiles","Lait de croissance infantile, poudre (réhydratée chez le consommateur)",1.09,1.19e-8,0.068,0.00217,9.15e-8,1.37e-8,1.3e-9,0.0125,0.000109,0.00391,0.0539,14.5,54.8,0.274,5.15,0.00000212
"aliments infantiles","petits pots salés et plats infantiles","Petit pot légumes, avec féculent, dès 4/6 mois",1.21,2.05e-8,0.647,0.00298,6.69e-8,2.12e-8,5.84e-10,0.00708,0.000146,0.00332,0.0249,21.7,26,0.67,28,0.00000539
"aliments infantiles","petits pots salés et plats infantiles","Petit pot légumes, dès 4-6 mois",1.21,2.05e-8,0.647,0.00298,6.69e-8,2.12e-8,5.84e-10,0.00708,0.000146,0.00332,0.0249,21.7,26,0.67,28,0.00000539
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et lait/crème, dès 12 mois",1.21,2.54e-8,0.64,0.00332,7.75e-8,2.74e-8,6.1e-10,0.00876,0.00018,0.00434,0.0341,13.6,56,1.26,27.7,0.00000502
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et lait/crème, dès 18 mois",1.21,2.54e-8,0.64,0.00332,7.75e-8,2.74e-8,6.1e-10,0.00876,0.00018,0.00434,0.0341,13.6,56,1.26,27.7,0.00000502
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et lait/crème, dès 6-8 mois",1.21,2.54e-8,0.64,0.00332,7.75e-8,2.74e-8,6.1e-10,0.00876,0.00018,0.00434,0.0341,13.6,56,1.26,27.7,0.00000502
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et lait/crème, dès 8-12 mois",1.21,2.54e-8,0.64,0.00332,7.75e-8,2.74e-8,6.1e-10,0.00876,0.00018,0.00434,0.0341,13.6,56,1.26,27.7,0.00000502
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et viande/poisson, dès 12 mois",2.25,5.34e-8,0.613,0.0276,3.19e-7,3.05e-8,1.28e-9,0.0401,0.000211,0.012,0.115,18.8,50.5,1.28,41.8,0.00000745
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et viande/poisson, dès 18 mois",2.25,5.34e-8,0.613,0.0276,3.19e-7,3.05e-8,1.28e-9,0.0401,0.000211,0.012,0.115,18.8,50.5,1.28,41.8,0.00000745
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et viande/poisson, dès 6-8 mois",2.25,5.34e-8,0.613,0.0276,3.19e-7,3.05e-8,1.28e-9,0.0401,0.000211,0.012,0.115,18.8,50.5,1.28,41.8,0.00000745
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent et viande/poisson, dès 8-12 mois",2.25,5.34e-8,0.613,0.0276,3.19e-7,3.05e-8,1.28e-9,0.0401,0.000211,0.012,0.115,18.8,50.5,1.28,41.8,0.00000745
"aliments infantiles","petits pots salés et plats infantiles","Plat légumes, avec féculent, dès 6-8 mois",1.09,2.5e-8,0.604,0.00316,6.79e-8,2.68e-8,5.65e-10,0.00735,0.000177,0.00404,0.028,12.7,52.9,1.33,26.8,0.00000483
"aliments infantiles","petits pots salés et plats infantiles","Soupe pour bébé légumes et pomme de terre",0.797,1.47e-8,0.558,0.002,3.41e-8,1.38e-8,3.17e-10,0.0029,0.00009,0.00148,0.00874,4.27,8.51,0.274,23.3,0.00000352
"aliments infantiles","petits pots salés et plats infantiles","Soupe pour bébé légumes, céréales et lait",0.86,1.6e-8,0.566,0.00223,3.91e-8,1.58e-8,4e-10,0.00348,0.000105,0.00194,0.0108,6.54,13.7,0.425,24.1,0.00000407
"boissons","boisson alcoolisées","Alcool pur",1.26,7.56e-8,0.323,0.00955,1.16e-7,1.21e-8,4.49e-10,0.00509,0.000117,0.00131,0.0118,10.3,18.4,0.169,21.8,0.000003
"boissons","boisson alcoolisées","Apéritif à base de vin ou vermouth",1.31,7.44e-8,0.378,0.00585,9e-8,9.94e-8,1.87e-9,0.00815,0.000216,0.00608,0.0267,19.4,94.8,0.404,22.2,0.00000788
"boissons","boisson alcoolisées","Bière ""coeur de marché"" (4-5° alcool)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière ""spéciale"" (5-6° alcool)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière brune",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière faiblement alcoolisée (3° alcool)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière forte (>8° alcool)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Bière sans alcool (<1,2° alcool)",1.35,1.62e-7,0.595,0.00484,6.97e-8,1.18e-8,5.23e-10,0.0059,0.000139,0.00219,0.0186,11.9,17,0.258,27.3,0.00000426
"boissons","boisson alcoolisées","Champagne",2.23,1.49e-7,0.591,0.00898,1.22e-7,1.36e-7,2.75e-9,0.0111,0.000368,0.00809,0.0321,29,126,0.406,36.5,0.0000116
"boissons","boisson alcoolisées","Cidre aromatisé (framboise)",1.33,9.78e-8,0.373,0.00509,6.82e-8,1.65e-8,6.83e-10,0.00588,0.000138,0.00196,0.0163,22.2,22.7,0.76,22.2,0.00000494
"boissons","boisson alcoolisées","Cidre bouché demi-sec",1.33,9.78e-8,0.373,0.00509,6.82e-8,1.65e-8,6.83e-10,0.00588,0.000138,0.00196,0.0163,22.2,22.7,0.76,22.2,0.00000494
"boissons","boisson alcoolisées","Cidre brut",1.33,9.78e-8,0.373,0.00509,6.82e-8,1.65e-8,6.83e-10,0.00588,0.000138,0.00196,0.0163,22.2,22.7,0.76,22.2,0.00000494
"boissons","boisson alcoolisées","Cidre doux",1.33,9.78e-8,0.373,0.00509,6.82e-8,1.65e-8,6.83e-10,0.00588,0.000138,0.00196,0.0163,22.2,22.7,0.76,22.2,0.00000494
"boissons","boisson alcoolisées","Cidre traditionnel",1.33,9.78e-8,0.373,0.00509,6.82e-8,1.65e-8,6.83e-10,0.00588,0.000138,0.00196,0.0163,22.2,22.7,0.76,22.2,0.00000494
"boissons","boisson alcoolisées","Cocktail à base de rhum",1.1,6.8e-8,0.253,0.00574,8.48e-8,1.19e-8,4.52e-10,0.00657,0.000123,0.00185,0.0195,19.8,24.1,0.695,17.9,0.0000033
"boissons","boisson alcoolisées","Cocktail à base de whisky",1.05,6.85e-8,0.269,0.00643,8.15e-8,9.81e-9,3.57e-10,0.00428,0.0000959,0.0011,0.00957,9.45,11.7,0.162,18.2,0.0000026
"boissons","boisson alcoolisées","Cocktail sans alcool (à base de jus de fruits et de sirop)",1.13,8.35e-8,0.298,0.00468,6.58e-8,2.16e-8,1.14e-9,0.00618,0.000123,0.00177,0.0182,36.5,21.2,0.583,18.6,0.00000398
"boissons","boisson alcoolisées","Cocktail type punch, 16% alcool",1.25,8.92e-8,0.327,0.00651,8.88e-8,2.72e-8,1.62e-9,0.007,0.000139,0.00214,0.0212,43.4,22.9,0.823,20.7,0.00000416
"boissons","boisson alcoolisées","Crème de cassis",1.74,8.72e-8,0.382,0.00656,1.28e-7,5.35e-8,1.73e-9,0.0128,0.000422,0.00598,0.0438,23.4,61.7,1.16,29.2,0.0000115
"boissons","boisson alcoolisées","Eau de vie",1.25,7.53e-8,0.281,0.00952,1.15e-7,1.17e-8,4.41e-10,0.00504,0.000114,0.0013,0.0117,10.2,18.3,0.167,20.9,0.00000268
"boissons","boisson alcoolisées","Eau de vie de vin, type armagnac, cognac",1.26,7.56e-8,0.323,0.00955,1.16e-7,1.21e-8,4.49e-10,0.00509,0.000117,0.00131,0.0118,10.3,18.4,0.169,21.8,0.000003
"boissons","boisson alcoolisées","Gin",1.26,7.56e-8,0.323,0.00955,1.16e-7,1.21e-8,4.49e-10,0.00509,0.000117,0.00131,0.0118,10.3,18.4,0.169,21.8,0.000003
"boissons","boisson alcoolisées","Kir (au vin blanc)",1.55,9.4e-8,0.478,0.00625,9.16e-8,1.14e-7,2.23e-9,0.0089,0.000283,0.0069,0.0291,22.5,105,0.427,26.9,0.0000105
"boissons","boisson alcoolisées","Kir royal (au champagne)",1.56,9.44e-8,0.478,0.00629,9.31e-8,1.12e-7,2.21e-9,0.00907,0.000289,0.00687,0.0298,22.5,103,0.455,27.1,0.0000106
"boissons","boisson alcoolisées","Liqueur",1.59,7.94e-8,0.284,0.0101,1.98e-7,2.88e-8,1.34e-9,0.0208,0.000248,0.00698,0.0811,37.9,55.8,1.24,23.3,0.00000573
