"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Fromage type feta","au lait de vache","à l'huile et aux aromates","kgCO2e/kg de poids net",5.15,,,,,"France continentale","2023-03-16","2024-05-17",,2.2,"Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Fructose",,,"kgCO2e/kg de poids net",1.54,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Fructose",,,"kgCO2e/kg de poids net",1.4,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (long) - Matériau d'emballage : Papier - Préparation : Pas de préparation"
"Fruit à pain","cru",,"kgCO2e/kg de poids net",0.631,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Fruit à pain","cru",,"kgCO2e/kg de poids net",0.427,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Fruit de la passion ou maracudja","pulpe et pépins","cru","kgCO2e/kg de poids net",0.894,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Fruit de la passion ou maracudja","pulpe et pépins, cru",,"kgCO2e/kg de poids net",0.914,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Fruits rouges","crus (framboises  fraises  groseilles  cassis)",,"kgCO2e/kg de poids net",1.47,,,,,"France continentale","2023-03-16","2024-05-17",,3.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Fruits rouges","crus (framboises, fraises, groseilles, cassis)",,"kgCO2e/kg de poids net",0.906,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus)","séché ou déshydraté",,"kgCO2e/kg de poids net",6.58,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Fumier en tas",,,"kgCO2e/tonne",3.32,,,,,"Europe","2014-11-05","2020-08-27",,,
"Gadidae","14 jours, biologique","Sortie de bateau","kgCO2e/kg de poids vif",3.31,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Gadidae","Mer Celtique","chalut de fond, moyenne, au débarquement/FR U","kgCO2e/kg de poids vif",3.27,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Galette de céréales aux légumes (sans soja)","préemballé",,"kgCO2e/kg de poids net",1.52,,,,,"France continentale","2023-03-16","2024-05-17",,1.8,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Poêle"
"Galette de riz soufflé complet",,,"kgCO2e/kg de poids net",1.43,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Galette de sarrasin","nature","préemballée","kgCO2e/kg de poids net",0.909,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Galette de sarrasin","nature, préemballée",,"kgCO2e/kg de poids net",0.791,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Galette des rois feuilletée",,,"kgCO2e/kg de poids net",6.56,,,,,"France continentale","2021-03-04","2024-05-17",,,"Galette des rois feuilletée"
"Galette des rois feuilletée",,,"kgCO2e/kg de poids net",3.72,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Galette des rois feuilletée","fourrée frangipane","et Pithiviers","kgCO2e/kg de poids net",3.72,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens)","préemballé",,"kgCO2e/kg de poids net",1.82,,,,,"France continentale","2023-03-16","2024-05-17",,2,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Poêle"
"Galette ou pavé au soja et légumes","préemballé",,"kgCO2e/kg de poids net",1.91,,,,,"France continentale","2023-03-16","2024-05-17",,2,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Poêle"
"Galettes multicéréales ou riz soufflées",,,"kgCO2e/kg de poids net",1.19,,,,,"France continentale","2021-03-04","2024-05-17",,,"Galettes multicéréales ou riz soufflées"
"Galettes multicéréales soufflées",,,"kgCO2e/kg de poids net",1.43,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Garage","structure en béton",,"kgCO2e/m²",656,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Garage","structure métallique",,"kgCO2e/m²",220,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Gâteau au chocolat",,,"kgCO2e/kg de poids net",9.49,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau au chocolat",,,"kgCO2e/kg de poids net",7.88,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau au chocolat","coeur fondant, rayon frais",,"kgCO2e/kg de poids net",9.88,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau au chocolat","cœur fondant","rayon frais","kgCO2e/kg de poids net",7.94,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Pas de préparation"
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches","avec ou sans cerises)",,"kgCO2e/kg de poids net",2.25,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches","avec ou sans cerises)",,"kgCO2e/kg de poids net",2.96,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau au citron","tout type",,"kgCO2e/kg de poids net",1.61,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau au citron","tout type",,"kgCO2e/kg de poids net",1.8,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau au fromage blanc",,,"kgCO2e/kg de poids net",1.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
