"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Poire belle Hélène",,,"kgCO2e/kg de poids net",1.75,,,,,"France continentale","2023-03-16","2024-05-17",,3.8,"Livraison : Congelé - Matériau d'emballage : PP - Préparation : Pas de préparation"
"Poire conventionnelle","au verger/FR U",,"kgCO2e/kg",0.0859,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poire mix conventionnel et biologique","au verger/FR U",,"kgCO2e/kg",0.0883,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poireau",,,"kgCO2e/Ha",11791,,,,,"France continentale","2021-09-09","2024-05-17",,,
"Poireau","cru",,"kgCO2e/kg de poids net",0.714,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poireau","cru",,"kgCO2e/kg de poids net",0.773,,,,,"France continentale","2023-03-16","2024-05-17",,2.3,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Poireau","cuit",,"kgCO2e/kg de poids net",1.43,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poireau","cuit",,"kgCO2e/kg de poids net",1.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (moyen) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau"
"Poireau","prairie permanente, biologique, système n ° 6","Sortie de ferme","kgCO2e/kg",0.415,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Poireau","prairie temporaire, biologique, système n ° 1","Sortie de ferme","kgCO2e/kg",0.4,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Poireau","prairie temporaire, biologique, système n ° 2","Sortie de ferme","kgCO2e/kg",0.38,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Poireau","prairie temporaire, biologique, système n ° 3","Sortie de ferme","kgCO2e/kg",0.291,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Poireau","prairie temporaire, biologique, système n ° 4","Sortie de ferme","kgCO2e/kg",0.196,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Poireau","surgelé","cru","kgCO2e/kg de poids net",1.06,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Poireau","surgelé, cru",,"kgCO2e/kg de poids net",1.06,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poireau conventionnel","automne irrigué","à la ferme/FR U","kgCO2e/kg",0.413,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poireau conventionnel","hiver non irrigué","à la ferme/FR U","kgCO2e/kg",0.205,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poireau conventionnel","moyenne nationale","à la ferme","kgCO2e/kg",0.292,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poireau conventionnel","précoce planté","à la ferme/FR U","kgCO2e/kg",0.379,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poireau conventionnel","précoce semé","à la ferme/FR U","kgCO2e/kg",0.377,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois",,"amont et combustion","kgCO2e/ha",294,294,0,0,0,"France continentale","2014-11-06","2014-11-06",,,
"Pois",,"amont et combustion","kgCO2e/ha",266,266,0,0,0,"France continentale","2014-11-06","2014-11-06",,,
"Pois",,"amont et combustion","kgCO2e/ha",28.1,28.1,0,0,0,"France continentale","2014-11-06","2014-11-06",,,
"Pois",,"consommation de carburant annuelle pour la culture","litre / ha",100,,,,,"France continentale","2014-11-06","2014-11-06",,,
"Pois",,"fabrication engins","kgCO2e/ha",112,112,0,0,0,"France continentale","2014-11-06","2014-11-06",,,
"Pois","de l'association de cultures, biologique","Sortie de ferme","kgCO2e/kg",0.308,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois cassé","cuit",,"kgCO2e/kg de poids net",0.299,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois cassé","cuit",,"kgCO2e/kg de poids net",0.377,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Micro-onde"
"Pois cassé","sec",,"kgCO2e/kg de poids net",0.892,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois cassé","sec",,"kgCO2e/kg de poids net",0.875,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Pois chiche","appertisé","égoutté","kgCO2e/kg de poids net",1.93,,,,,"France continentale","2023-03-16","2024-05-17",,3.8,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Pois chiche","appertisé, égoutté",,"kgCO2e/kg de poids net",1.27,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois chiche","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.911,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois chiche","cuit",,"kgCO2e/kg de poids net",0.834,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois chiche","cuit",,"kgCO2e/kg de poids net",0.436,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Pois chiche","de l'association de cultures, biologique","Sortie de ferme","kgCO2e/kg",0.499,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois chiche","sec",,"kgCO2e/kg de poids net",0.791,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois chiche","sec",,"kgCO2e/kg de poids net",0.989,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"pois d'hiver","association de culture","biologique, système numéro 3, à la ferme/FR U","kgCO2e/kg",0.376,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de culture","biologique, système numéro 4, à la ferme/FR U","kgCO2e/kg",0.44,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de culture","biologique, système numéro 5, à la ferme/FR U","kgCO2e/kg",0.316,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de culture","biologique, système numéro 6, au départ de l'exploitation/FR U","kgCO2e/kg",0.378,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de culture","biologique, système numéro 7, à la ferme/FR U","kgCO2e/kg",0.327,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de cultures","biologique, système numéro 1, à la ferme/FR U","kgCO2e/kg",0.303,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois d'hiver","association de cultures","biologique, système numéro 2, à la ferme/FR U","kgCO2e/kg",0.354,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver","conventionnel","15% d'humidité, à la ferme/FR U","kgCO2e/kg",0.384,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver","NEA, chalut, pélagie, moyenne","Sortie de ferme","kgCO2e/kg",0.212,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.591,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.356,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.585,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.115,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.285,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.317,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver","prairie permanente, biologique","Sortie de ferme","kgCO2e/kg",0.275,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et blé d'hiver associés","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.395,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et blé d'hiver associés","biologique","système numéro 2, à la ferme/FR U","kgCO2e/kg",0.318,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et blé d'hiver associés","biologique, système n ° 3","Sortie de ferme","kgCO2e/kg",0.331,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et blé d'hiver associés","biologique, système n ° 4","Sortie de ferme","kgCO2e/kg",0.252,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et orge d'hiver associés","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.305,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et orge d'hiver associés","biologique, système n ° 2","Sortie de ferme","kgCO2e/kg",0.261,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et triticale associés","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.308,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et triticale associés","biologique","système numéro 2, à la ferme/FR U","kgCO2e/kg",0.365,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et triticale associés","biologique","système numéro 3, à la ferme/FR U","kgCO2e/kg",0.526,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et triticale associés","biologique","système numéro 4, à la ferme/FR U","kgCO2e/kg",0.453,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois d'hiver et triticale associés","biologique, système n ° 1","Sortie de ferme","kgCO2e/kg",0.157,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et triticale associés","de l'association de cultures, biologique","Sortie de ferme","kgCO2e/kg",0.606,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et triticale associés","de l'association de cultures, biologique","Sortie de ferme","kgCO2e/kg",0.624,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois d'hiver et triticale associés","de l'association de cultures, biologique","Sortie de ferme","kgCO2e/kg",0.904,,,,,"France continentale","2020-12-04","2024-05-17",,,
"pois de printemps","association de cultures","biologique, système numéro 1, à la ferme/FR U","kgCO2e/kg",0.352,,,,,"France continentale","2023-03-16","2023-03-16",,,
"pois de printemps","association de cultures","biologique, système numéro 2, à la ferme/FR U","kgCO2e/kg",0.347,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois de printemps","biologique, système n ° 2","Sortie de ferme","kgCO2e/kg",0.274,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois de printemps","biologique, système n ° 3","Sortie de ferme","kgCO2e/kg",0.257,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois de printemps","conventionnel","15% d'humidité, aliment pour animaux, à la ferme, production/FR U","kgCO2e/kg",0.336,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois de printemps","NEA, chalut, pélagie, moyenne","Sortie de ferme","kgCO2e/kg",0.195,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois de printemps et blé de printemps associés","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.325,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois de printemps et blé de printemps associés","biologique, système n ° 1","Sortie de ferme","kgCO2e/kg",0.241,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois de printemps et orge de printemps associés","biologique (type de modèle), Région Centre","Sortie de ferme","kgCO2e/kg",0.259,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pois de printemps et orge de printemps associés","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg",0.329,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois de senteur annuel pour transformation industrielle","conventionnel","moyenne nationale, à la ferme/FR U","kgCO2e/kg",0.396,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pois mange-tout ou pois gourmand","bouilli/cuit à l'eau",,"kgCO2e/kg de poids net",1.47,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (moyen) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau"
"Pois mange-tout ou pois gourmand","cru",,"kgCO2e/kg de poids net",0.589,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pois mange-tout ou pois gourmand","cru",,"kgCO2e/kg de poids net",0.913,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pois mange-tout ou pois gourmands","cuits",,"kgCO2e/kg de poids net",1.28,,,,,"France continentale","2021-03-04","2024-05-17",,,"Pois mange-tout ou pois gourmands, cuits"
"Pois mange-tout ou pois gourmands","cuits",,"kgCO2e/kg de poids net",1.47,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (moyen) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau"
"Poisson","croquette ou beignet ou nuggets","frit","kgCO2e/kg de poids net",7.86,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Poisson","croquette ou beignet ou nuggets, frit",,"kgCO2e/kg de poids net",7.9,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à l'estragon",,,"kgCO2e/kg de poids net",8.75,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à l'estragon",,,"kgCO2e/kg de poids net",8.59,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la bordelaise",,,"kgCO2e/kg de poids net",7.73,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la bordelaise",,,"kgCO2e/kg de poids net",7.77,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la florentine (sauce aux épinards)",,,"kgCO2e/kg de poids net",8.75,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la florentine (sauce aux épinards)",,,"kgCO2e/kg de poids net",8.59,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la marinière (sauce aux oignons","vin blanc, moules)",,"kgCO2e/kg de poids net",7.73,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la marinière","(sauce aux oignons  vin blanc  moules)",,"kgCO2e/kg de poids net",7.77,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la parisienne (sauce aux champignons)",,,"kgCO2e/kg de poids net",9.62,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la parisienne (sauce aux champignons)",,,"kgCO2e/kg de poids net",9.07,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la provençale ou niçoise (sauce tomate)",,,"kgCO2e/kg de poids net",9.29,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la provençale ou niçoise (sauce tomate)",,,"kgCO2e/kg de poids net",9.17,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc à la sauce moutarde",,,"kgCO2e/kg de poids net",8.75,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc à la sauce moutarde",,,"kgCO2e/kg de poids net",8.59,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson blanc sauce oseille",,,"kgCO2e/kg de poids net",8.75,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson blanc sauce oseille",,,"kgCO2e/kg de poids net",8.59,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Poisson en sauce","surgelé",,"kgCO2e/kg de poids net",8.46,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson en sauce","surgelé",,"kgCO2e/kg de poids net",8.79,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde"
"Poisson pané","frit",,"kgCO2e/kg de poids net",8.29,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poisson pané","frit",,"kgCO2e/kg de poids net",8.35,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Poisson pané","surgelé","cru","kgCO2e/kg de poids net",8.48,,,,,"France continentale","2023-03-16","2024-05-17",,3.5,"Livraison : Congelé - Matériau d'emballage : PS - Préparation : Four"
"Poisson pané","surgelé, cru",,"kgCO2e/kg de poids net",7.97,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poitrine de porc","fumée","crue","kgCO2e/kg de poids net",6.28,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Glacé - Matériau d'emballage : PVC - Préparation : Pas de préparation"
"Poitrine de porc","fumée, crue",,"kgCO2e/kg de poids net",5.56,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poitrine de porc demi-sel",,,"kgCO2e/kg de poids net",7.21,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poitrine de porc demi-sel",,,"kgCO2e/kg de poids net",8.16,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Poivre",,,"kgCO2e/kg de poids net",1.15,,,,,"France continentale","2021-03-04","2024-05-17",,,"Poivre tout type"
"Poivre blanc","poudre",,"kgCO2e/kg de poids net",9.19,,,,,"France continentale","2023-03-16","2024-05-17",,4.3,"Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Pas de préparation"
"Poivre de Cayenne ou piment de Cayenne",,,"kgCO2e/kg de poids net",9.19,,,,,"France continentale","2023-03-16","2024-05-17",,4.3,"Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Pas de préparation"
"Poivre noir","conventionnel","à la ferme/VN U","kgCO2e/kg",2.74,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Poivre noir","poudre",,"kgCO2e/kg de poids net",9.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.3,"Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Pas de préparation"
"Poivron","cru",,"kgCO2e/kg de poids net",0.923,,,,,"France continentale","2021-03-04","2024-05-17",,,"Poivron  cru"
"Poivron","cuit",,"kgCO2e/kg de poids net",0.923,,,,,"France continentale","2021-03-04","2024-05-17",,,"Poivron  cuit"
"Poivron","vert","jaune ou rouge  cru","kgCO2e/kg de poids net",1.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Poivron jaune","cru",,"kgCO2e/kg de poids net",1.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Poivron rouge","appertisé","égoutté","kgCO2e/kg de poids net",1.31,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Micro-onde"
"Poivron rouge","appertisé, égoutté",,"kgCO2e/kg de poids net",1.62,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Poivron rouge","cru",,"kgCO2e/kg de poids net",1.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Poivron rouge","cuit",,"kgCO2e/kg de poids net",1.79,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (moyen) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau"
"Poivron vert","cru",,"kgCO2e/kg de poids net",1.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Poivron vert","cuit",,"kgCO2e/kg de poids net",1.79,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (moyen) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau"
"Polaire","en PES recyclé",,"kgCO2e/unité",23.8,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polaire","en PES recyclé",,"kgCO2e/unité",7.9,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polaire","en PES recyclé",,"kgCO2e/unité",1.1,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polaire","en PES recyclé",,"kgCO2e/unité",10.5,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polaire","en PES recyclé",,"kgCO2e/unité",0.6,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polaire","en PES recyclé",,"kgCO2e/unité",3.7,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polenta ou semoule de maïs","cuite","non salée","kgCO2e/kg de poids net",0.712,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Micro-onde"
"Polenta ou semoule de maïs","cuite, non salée",,"kgCO2e/kg de poids net",0.56,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Polenta ou semoule de maïs","précuite","sèche","kgCO2e/kg de poids net",1.67,,,,,"France continentale","2023-03-16","2024-05-17",,3.2,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Polenta ou semoule de maïs","précuite, sèche",,"kgCO2e/kg de poids net",1.31,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Polo",,,"kgCO2e/unité",8.2,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polo",,,"kgCO2e/unité",2.8,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polo",,,"kgCO2e/unité",0.4,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polo",,,"kgCO2e/unité",3.1,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polo",,,"kgCO2e/unité",0.4,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Polo",,,"kgCO2e/unité",1.5,,,,,"France continentale","2018-12-21","2018-12-21",,,
"Pomelo (dit Pamplemousse)","cru",,"kgCO2e/kg de poids net",0.633,,,,,"France continentale","2021-03-04","2024-05-17",,,"Pomelo/pamplemousse,cru, tout type"
"Pomelo (dit Pamplemousse)","pulpe","cru","kgCO2e/kg de poids net",1.18,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomelo (dit Pamplemousse) jaune","pulpe","cru","kgCO2e/kg de poids net",1.18,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomelo (dit Pamplemousse) rose","pulpe","cru","kgCO2e/kg de poids net",1.18,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomme","biologique","moyenne nationale, au verger/FR U","kgCO2e/kg",0.113,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pomme","biologique, système n ° 1","Au verger","kgCO2e/kg",0.117,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","crue",,"kgCO2e/kg de poids net",0.284,,,,,"France continentale","2021-03-04","2024-05-17",,,"Pomme crue tout type"
"Pomme","prairie permanente, avec trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0864,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","prairie temporaire, avec trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0634,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","prairie temporaire, sans trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0561,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","prairie temporaire, sans trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0795,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","pulpe","bouillie/cuite à l'eau","kgCO2e/kg de poids net",0.849,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (moyen) - Matériau d'emballage : PS - Préparation : Cuisson à l'eau"
"Pomme","pulpe","crue","kgCO2e/kg de poids net",0.397,,,,,"France continentale","2023-03-16","2024-05-17",,2,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomme","pulpe","rôtie/cuite au four","kgCO2e/kg de poids net",0.805,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (moyen) - Matériau d'emballage : PS - Préparation : Four"
"Pomme","pulpe et peau","crue","kgCO2e/kg de poids net",0.397,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomme","pulpe, bouillie/cuite à l'eau",,"kgCO2e/kg de poids net",0.724,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pomme","pulpe, rôtie/cuite au four",,"kgCO2e/kg de poids net",0.663,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pomme","sèche",,"kgCO2e/kg de poids net",1.53,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Pomme","sèche",,"kgCO2e/kg de poids net",1.69,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Pomme","silo horizontal, prairie permanente, sans trèfle, Auvergne","Au verger","kgCO2e/kg",0.0859,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","silo horizontal, prairie permanente, sans trèfle, Auvergne","Au verger","kgCO2e/kg",0.0867,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","silo horizontal, prairie temporaire avec trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.1,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme","silo horizontal, prairie temporaire avec trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0789,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme à cidre","moyen conventionnel","national, au verger/FR U","kgCO2e/kg",0.0928,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pomme à cidre","prairie permanente, avec trèfle, région du Nord-Ouest","Au verger","kgCO2e/kg",0.0817,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Pomme Canada","pulpe","crue","kgCO2e/kg de poids net",0.397,,,,,"France continentale","2023-03-16","2024-05-17",,2.3,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Pomme conventionnelle","bâche anti pluie","au verger/FR U","kgCO2e/kg",0.101,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pomme conventionnelle","moyenne nationale","au verger/FR U","kgCO2e/kg",0.0902,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Pomme conventionnelle","non tolérante à la tavelure","au verger/FR U","kgCO2e/kg",0.0908,,,,,"France continentale","2023-03-16","2023-03-16",,,
